[11, '"FgyiumHd7mw"', '"Tech N9ne - Just Die? (Intro 1) | OFFICIAL MUSIC VIDEO"', '"2020-04-09T16:00:10.000Z"', '"UC87iZ03xDe8csLCjWyV2E0A"', '"Strange Music Inc"', '10', '"Music"', '"20.04.10"', '"Tech N9ne|Just Die?|ENTERFEAR|Official Music Video|Strange Music|Hip Hop|Rap|Independent|Indie Hip Hop|Intro"', '"222112"', '"194"', '"19701"', '"426"', '"1358"']
[12, '"s-aScZtOfbM"', '"Live Marília Mendonça - #LiveLocalMariliaMendonca"', '"2020-04-09T03:01:05.000Z"', '"UCwfEOn0O1DWcyTgzVVu28ig"', '"Marília Mendonça"', '10', '"Music"', '"20.04.10"', '"[none]"', '"48739885"', '"12628"', '"2838360"', '"58735"', '"11166"']
[13, '"tBiWL0S3_tg"', '"I HATE 13 Reasons Why (Season 3)"', '"2020-04-09T08:13:37.000Z"', '"UCRbOPaGDB_xOQkVM8Rnn62Q"', '"I Hate Everything"', '23', '"Comedy"', '"20.04.10"', '"I HATE EVERYTHING|I hate|everything|hate everything|comedy|satire|IHE"', '"495126"', '"1297"', '"31121"', '"403"', '"3332"']
[14, '"5C_3EattWe0"', '"blink-182 - Happy Days (Official Video) #stayhome"', '"2020-04-09T17:00:10.000Z"', '"UCf2WBemooP2gBBx3lrraNQw"', '"blink182VEVO"', '10', '"Music"', '"20.04.10"', '"blink182|blink-18|blink 182|happy days|blink-182 happy days|blink182 happy days|blink 182 happy days|happy days video|blink 182 happy days video|blink-182 happy days video|stay home|stay safe|covid-19|coronavirus|punk|new blink 182 video|new blink-182 video|stayhome|blink 182 covid|blink-182 covid|blink-182 covid-19|covid|blink-182 coronavirus|blink 182 coronavirus|fan video|fan videos|UGC|blink-182 ugc|blink-182"', '"251966"', '"181"', '"17603"', '"396"', '"1168"']
[15, '"eK5oAmESJlA"', '"And Now, A Very Special COVID-19 Message From Walter | JEFF DUNHAM"', '"2020-04-08T17:02:11.000Z"', '"UC0NaWwWghJD37rMK2AYDidg"', '"Jeff Dunham"', '23', '"Comedy"', '"20.04.10"', '"achmed|all over the map|america\'s got talent|arguing with myself|bubba j|comedian|comedy|comedy special|commercial|controlled chaos|funny|hilarious|jeff dunham|jeff dunham netflix|jeff dunham: beside himself|keel|live stream|netflix|netflix original|netflix special|peanut|quarantined|self isolated|spark of insanity|stand-up|stay home|stayhome|together at home|togetherathome|unhinged in hollywood|walter|with me|withme|COVID-19|donald trump|movie trailer"', '"839596"', '"93"', '"30202"', '"1175"', '"2050"']
[16, '"NyMFvLduZh0"', '"Ari Lennox - BUSSIT (Official Music Video)"', '"2020-04-08T16:00:10.000Z"', '"UCOFXthnAEVPDdZP2WGA1nTw"', '"AriLennoxVEVO"', '10', '"Music"', '"20.04.10"', '"Dreamville|Ari|Lennox|BUSSIT|Dreamville/Interscope|Records|Hip|Hop|Ari Lennox|bussit|bussit Ari Lennox|Ari Lennox bussit|bussit dreamville|buss it Ari Lennox|dreamville|buss it|dreamville bussit|dreamville Ari Lennox|Ari Lennox dreamville|bussit Ari Lennox lyrics|dreamville revenge of the dreamers 3|Ari buss it|dreamville ft Ari Lennox|self love Ari Lennox|Ari Lenox|buss|passcode dreamville|Ari Lennox album"', '"590406"', '"160"', '"46540"', '"1518"', '"3970"']
[17, '"MuEVSZYtDl4"', '"This is the PS5 Controller..."', '"2020-04-07T23:09:01.000Z"', '"UCXGgrKt94gR6lmN4aN3mYTg"', '"Austin Evans"', '28', '"Science & Technology"', '"20.04.10"', '"ps5|dualsense|playstation 5|ps5 controller|controller|playstation 5 controller|gaming|tech|reveal|announcement|xbox|sony|xbox series x|series x|dual sense|the test drivers|test drivers|this is|austin evans|playstation"', '"3356355"', '"424"', '"83173"', '"35076"', '"22391"']
[18, '"o9kb5iXwuMI"', '"Tom Brady Joins the Stern Show From Derek Jeter’s House"', '"2020-04-08T17:54:19.000Z"', '"UCENdrrK5sWM-RV5nTLwBNXw"', '"The Howard Stern Show"', '24', '"Entertainment"', '"20.04.10"', '"The Howard Stern Show|Howard Stern|Robin Quivers|Fred Norris|Gary Dell\'Abate|Baba Booey|SiriusXM|HSS|htvod|Tom Brady|Patriots|Derek Jeter|New England|interview|video|clip"', '"360049"', '"194"', '"3577"', '"321"', '"260"']
[19, '"8DcsFo3dnzE"', '"Giving My Shed a Tiny House Makeover!"', '"2020-04-07T17:54:32.000Z"', '"UC0CG8Kj2DqFc9bJld0hJKBA"', '"Ryland Adams"', '24', '"Entertainment"', '"20.04.10"', '"Ryland Adams|Morgan Adams|Shane Dawson|Makeover|Reveal|DIY|Design|Spotify|Podcast|Hermes|Gucci"', '"2855992"', '"1811"', '"192883"', '"3077"', '"14403"']
[20, '"B-yhF7IScUE"', '"The Half of It | Official Trailer | Netflix"', '"2020-04-09T15:00:00.000Z"', '"UCWOA1ZGywLbqmigxE4Qlvuw"', '"Netflix"', '24', '"Entertainment"', '"20.04.10"', '"Netflix|Trailer|Netflix Original Films|Netflix Film|Netflix Movies|Official Trailer|Netflix Original Series|Netflix Series|The Half Of It|Half of It|feel good|romance|comedy|lesbian romance|lesbian|family|family movie|high school|drama|friendship|queer|gay|lgbtq|lgbt|Alice Wu|Saving Face|Leah Lewis|Alexxis Lemire|Daniel Diemer|Enrique Murciano|Collin Chou|Wolfgang Novogratz"', '"1635615"', '"167"', '"81206"', '"1610"', '"4031"']
