rank,video_id,title,publishedAt,channelId,channelTitle,categoryId,category,trending_date,tags,view_count,likes,dislikes,comment_count,duration
160,4WVAB9o_wYQ,WE'RE MOVING AGAIN? (MILLION DOLLAR HOUSE TOUR),2020-04-06T00:30:38.000Z,UCtj45MepAoKxZoyR_Mnt86Q,Royal Family,24,Entertainment,20.04.10,"""queen Naija|Medicine|Queen|Spicy|Royalty Squad|Spicy Mafia|ClarenceNYC TV|Medicine by Queen|Music|Personality|Funny Videos|Singing Videos|Chris and Queen|Divorce|Record Labels|Marriage|Relationships|Brands|Clothes|Beauty|Confidence|Make Up""",577839,29025,979,3174,1126
161,ZHuv0hO-D7w,"Kane Brown, John Legend - Last Time I Say Sorry (Official Video)",2020-04-03T21:15:10.000Z,UCsEj8E122ibbJetQe8BoV7g,KaneBrownVEVO,10,Music,20.04.10,"""John Legend sorry|sorry|last time|john lengend kane brown sorry|kane brown john legend last time|john legend kane brown last time|what ifs|homesick|the voice|tiktok|video I saw on tiktok|video from tiktok|heaven|one thing right|marshmello|kb last time|lose it|good as you|all of me|bigger love|worldwide beautiful|john legend actions|Country|Kane Brown & John Legend|Last Time I Say Sorry|RCA Records Label Nashville""",1553520,74249,1193,1722,197
162,K5PQQfi3YQI,Which Twin Can go Viral on Tik Tok? SISTER vs SISTER,2020-04-06T00:17:54.000Z,UCuVHOs0H5hvAHGr8O4yIBNQ,Niki and Gabi,26,Howto & Style,20.04.10,"""which twin can go viral on tik tok|tik tok|tik tok challenge|sister vs sister|niki and gabi|sister vs sister challenge|viral on tik tok|going viral on tik tok|sister challenge|sisters|sisters tik tok""",1386017,68087,1159,4596,892
163,AEz4hlO_kDo,Palm Sunday and the Passion of the Lord by Pope Francis | Live Recorded,2020-04-05T10:55:24.000Z,UCErQl0ZF36rb667dMJCjC3A,Shalom World,25,News & Politics,20.04.10,"""Vatican live|Palm Sunday|holy week live|palm sunday live|shalom world|catholic channel|christian media""",464842,7463,784,716,6243
164,3fG8rNHUspU,PEPCORN: a cooking video | bdg,2020-04-04T16:00:00.000Z,UCakAg8hC_RFJm4RI3DlD7SA,brian david gilbert,26,Howto & Style,20.04.10,"""brian|david|gilbert|BDG|funny|humor|music|song|awkward|goofy|live|comedy|guy|joking|songs|singing|polygon|pepcorn|popcorn|recipe|cooking|video|bon appetit|hunzi|matt hunziker|it's alive|tarzan|phil collins|lao gan ma|spicy|savory|theater|salt|wok|pop""",734576,83807,693,4501,738
165,qaA7HuhH6Ko,Anuel AA - 3 de abril [Official Audio],2020-04-03T03:41:20.000Z,UCRI7hheejBbWS6etTNwMT0g,Anuel AA,10,Music,20.04.10,"""Anuel AA|anuel|Free anuel|3 de abril|real hasta la muerte""",15070265,628923,16972,36412,225
166,JR5yb4sFDTo,PRINTABLE Pattern For Face Mask FREE! 😍 Try this Reversible Face Mask DIY!,2020-04-04T15:00:07.000Z,UCWfwA2Rcw6GRFESo8o622Bw,Anjurisa,26,Howto & Style,20.04.10,"""printable pattern for face mask|printable pattern face mask|reversible face mask|how to make fabric mask at home|how to sew mask for face|how to sew face mask at home easy|how to make fabric mask|diy fabric face mask easy|cloth face mask diy|cloth mask making easy|fabric mask tutorial|diy fabric face mask|fabric mask diy|how to sew face mask pattern|how to sew mask at home|cloth mask making ideas|fabric mask how to make|cloth mask making at home|fabric mask""",528862,11802,252,271,314
167,Gxb9_4BPIGo,i made the tiktok whipped coffee,2020-04-03T19:18:07.000Z,UC1KsxDW7hhfeq5QQmFtInIw,julien solomita,24,Entertainment,20.04.10,"""julien solomita|vlogs|vlogs by julien|how to|jenna and julien|girlfriend|vegan|vegan recipe|vegan cooking|diy vegan|diy|julien cooking|gluten free|aries|aries kitchen|chef|julen|julien|best|meals|tiktok|tiktok coffee|whipped coffee|julien tiktok|julien coffee|julien tiktok coffee|foamy coffee|vegan whipped coffee|how to make whipped coffee|tik tok coffee""",2042609,114318,2325,10223,1070
168,1r2C1zGUHbU,DIY No Sew Face Mask Easy and Quick for Anyone,2020-04-03T02:13:22.000Z,UCtQVy5IY7TjSBMo-lGigfnQ,Kristin Omdahl,26,Howto & Style,20.04.10,"""knit|crochet|knitting|crocheting|yarn|craft|diy|how to|how to make|como hacer|hilo|ganchillo|tejer|Вязание|вязать|ニット|かぎ針編み|לִסְרוֹג בְּמַסרֵגָה אַחַת|לִסְרוֹג|diy face mask|diy no sew|no sew face mask|bandana face mask""",5891532,60378,1557,4026,98
169,rL85F0TXCkQ,Saints Row The Third Remastered - Announce Trailer | PS4,2020-04-06T14:00:23.000Z,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,20,Gaming,20.04.10,"""Saints Row|The third|remastered|comparison|Steel port|open world|action|mayhem|crazy|wild|tiger|cars|planes|gang|heist|full|package|remake|upgrade|saints row IV|saints row gat out of hell|saints row re-elected""",572258,28989,1145,4323,80
170,Y5f3gS3PjJ4,Stop Doing THAT To Your Face...Start Doing THIS! | Jackie Aina,2020-04-04T02:55:45.000Z,UCzJIliq68IHSn-Kwgjeg2AQ,Jackie Aina,26,Howto & Style,20.04.10,"""makeup for dark skin|do not skin bleach|dark skin makeup tutorials|tutorials for dark skin""",879276,55045,921,3215,2010
